transliteration,translation
pussusu I,"""erased, cancelled"" jB legap> .;"
maduššu I,(a nk) jB legap> .;
maksû I,"""(medical) bandage; fetter, shackles"" O;"
imgiddû I,"(a e-columned tablet) jB legap> ., comm.;"
suhhuru I,"""curved"" jB;"
šurira I,mng. unkn. Nuzi in desig. of sheepskins
sannāpu I,"""binder"" OB as gap>;"
37 ku-ta-ni 34 TÚG šu-ru-tum a-na lá-qé-pí-im áp-qí-id IGI i-dí-{d}IŠKUR IGI i-dí-a-šur DUMU sú-e-ta-ta 7 TÚG.HI.A ša li-wi-tim IGI a-šùr-SIPA a-dí-šu-um,"37 -tegap> tiles (and) 34 dark tegap> tiles I entrusted to Lā-qēpum in the presence of Iddin-Adad and of Iddin-Aššur, son of Suettata. 7 tegap> tiles for wrapping I gave him in the presence of Aššur-rē'ī."
makkāru I,"""merchant, dealer"" OA, jB;"
rabbû I,"""very big"" Bab. [GAL.GAL] of things, peo; Mari awīlī rabbūtimma ""a great many men""; NB (a big kind of cake); also as form of ;"
baqqu I,"""(small) fly, mosquito"" Bab.; also as gap> cf. baqbuqāqu I"
a-na ku-ku-a LUGAL-sú-in a-gi-a ù en-nam-a-šur qí-bi-ma um-ma ì-lí-dan-ma a-na en-nam-a-šur qí-bi-ma a-hi a-ta mì-šu ša ta-áš-pu-ra-ni um-ma a-ta-ma SÍG.HI.A <gap> ša gi-mì-li ú-šé- <gap> um-mì ṭup-pí-im <gap> ṭup-pá-am ša a- <gap> ša i-a-tí <gap> ma <gap> i-tù-ar <gap> a-wa-tí-ni a-dí ṭup-pu-um ša 45 ma-na KÙ.BABBAR lá i-mu-tù mì-ma gi-mì-li-kà lá ú-ta-ar iš-tù ṭup-pu-um ša 45 ma-na KÙ.BABBAR i-mu-tù ú gi-mì-li-kà a-da-an-ma ú SÍG.HI.A a-na tù-ku-ub-tù šál-ma-am ú-ba-lam qá-tí a-dí-ma <gap> tal-ha-at ma-ma-an iš-tù ša-da-ha-ar a ha-ra-be-et ú-ra-da-am lá i-le-e a-sú-ri ṣú-ha-ru-kà e ta-aṭ-ru-da-šu-ma i li-bi4 ma-tim mì-ma e i-né-pí-šu-ma li-ba-kà e im-ra-aṣ a-na-ku lá ṭa-hu-a-ku a-ma-a a-wi-lu a-ni-ú-tum lu i-de8-ú,"<gap> To Kukuwa, Šar-Suen, Agiya and Ennam-Aššur from Ilī-dan; specifically to Ennam-Aššur: My dear brother, why have you written as follows: Wool gap> who gap> a favour gap> "" The original tablet gap> the tablet gap> will return gap> of our case. As long as the tablet concerning 45 minas of silver has not been invalidated I shall not show you any favours. After the tablet concerning 45 minas of silver has been invalidated I shall show you my favours, and then I shall bring the wool safely to Tukubtu. I deposited my share, and gap> Talhat. No-one can go down from Šadahar to harabet. God forbid that you should send your servant and that you should be angry because something was done in the central country. I am personally not involved. May these men know this indeed!"""
Anūtu I,"""position of An; divinity"" j [d60- ; dAN- ];"
šaškillulu I,(desig. of a person) OB legap> .;
mallūtu I,"""balancing payment, final instalment"" MA;"
1⅙ GÍN KÙ.BABBAR a-na e-me-er-tim 3 GÍN KÙ.BABBAR a-na ša-at-ì-lí ù na-hi-iš-tim 3 GÍN KÙ.BABBAR a-na ha-tim pá-ar-ší-kam a-na be-lá-sú-nu na-ah-lá-áp-tám a-na lá-ma-sí mì-ma a-nim a-na a-šur-ma-lik DUMU ú-sá-ri-a a-dí-in 2 GÍN KÙ.BABBAR a-na ni-qé IGI ku-bi-a IGI a-šur-pí-lá-ah DUMU a-mur-a-šur ṣú-ba-tám a-na wa-ar-da-nim šé-né-en a-na ú-ṣú-ur-ša-a-šur 3 GÍN KÙ.BABBAR a-na a-mur-a-šur ù e-me-er-tim 1.5 GÍN KÙ.BABBAR a-na ni-qé-šu mì-ma a-nim a-na en-um-a-šur DUMU ku-ku-ra-nim a-dí-in IGI kàr-ri-a ša É sú-kà-li-a,1⅙ shekels of silver for Emmertum; 3 shekels of silver for Šāt-ilī and Nahištum; 3 shekels of silver for hattum; a sash for Bēlassunu; a dress for Lamassī - all this I gave to Aššur-malik son of Usāriya. 2 shekels of silver for sacrifices. Witnessed by Kūbiya (and) Aššur-pilah son of Amur-Aššur. A tegap> tile for Wardānum; shoes for Uṣur-ša-Aššur; 3 shekels of silver for Amur-Aššur and Emmertum; 1.5 shekel of silver for his sacrifice - all this I gave to Ennam-Aššur son of Kurkurānum. Witnessed by Karriya from the family of Sukkalliya.
ayyekamēni I,"""anywhere"" NA;"
nappaltu I,"""(building) rubble, egap> cavated debris"" j [IM.BAL];"
muhhelṣītu I,"""slippery ground"" OB;"
hušû I,"tant. ~ ""(metal) scraps"";"
šalmūtu I,"""well-being, health, good condition"" Bab., esp. with pron. suff. in adv. use, e.g. šalmūssa ""in good condition"";"
karatašna I,(or karaurna) (an object) OB(Alal.)
tāpalu I,"""pair (of objects)"" Bab. of shoes, garments, beams etc.; (a kind of musical instrument) ~ ""castanets"";"
ragāgu II,(or raqāqum) mng. unkn. OB G (a or a)
riqqu I,"""votary"" NB, person dedicated to tem; rab r. ""overseer of the votaries"";"
a-na ša ki-ma i-a-tí qí-bi-ma a-ma-kam a-šur-ták-lá-ku pí-šu li-ip-té-ma <gap> ma-na LÁ 1 GÍN KÙ.BABBAR ša-áš-qí-lá-šu lá ta-ga-mì-lá-šu (5 broken lines) <gap> ma-na <gap> -i-dí DUMU lá+lá- <gap> KÙ.BABBAR 10 ma-na <gap> -ba-ni ha-ra-an <gap> -a na-ší,"<gap> Say to my representatives: ""Here Assur-taklaku should make a statement and then make him pay gap> mina minus 1 shekel of silver. Have no consideration with him!"""
gilimmu I,mng. unkn. OB legap> .;
mundahṣūtu I,"""soldiering"" M;"
nakīlu I,mng. unkn. OB;
elēpu I,"""to sprout, grow"" Bab. G (i) astr. of halo (agû); NB stat. in gap>s ""grants growth to"" Gt ""grow into one another"", stat. of parts of body, egap> ta; ""be interlocked"" of combatants, weapons D NB ""increase, multi"" of descendants Š ""cause"" stature ""to grow"" Št ""(cause to) interlock"", ""be made to interlock"", of vegetation, in combat; ""be made to grow, increase"" of descendants, regnal years"
gubbuhu I,"""bald"" O, also as gap>"
agâ I,"m. & f. sg. & ; f. rarely agāta ""this"" NB;"
namāšu I,"""to set (o.s.) in motion, start out"" G (u) on journey, campaign; Ug. dīna n. ""bring a lawsuit"" (itti = against s.o.) Gt ""move towards each other"" D ""make s.o. move, set s.th. in motion""; NA ""depart"" (ellipt.); Ug. ""initiate"" lawsuit (cf. G) R OB legap> . (cf. nammušīšu)"
piyāmu I,"~ ""strong"" jB legap> ."
guhaššu I,"""wire; cord; trimming"" Bab., MA [GÚ.HAS] ""wire"" of gold, copper etc.; for lyre; mag. ""string, cord""; ""fringe, trimming"" of carpet, garment"
upatinnu I,(a vassal) OA;
parru II,"""weaned"" Mari, of sheep;"
nadû I,"""ced, laid (down)"" [ŠUB] 1. of document ""deposited""; jB of foundation ""laid""; of saliva ""spat out""2. OB of bag ""dropped""3. of field ""fallow""; of building, city, region ""deserted, abandoned""4. legap> . (desig. of headdress)5. legap> ., of person ""fallen"" II"
huzzumu I,"""mutilated"" Bab., of person with imperfect physical feature;"
sihūnu I,(a kind of wool) NB
harbakkannu I,"(or hurbgap> ) 1. M [ŠEN.ŠEN.(BAL.)BAR.HUŠ.MUŠEN] (a bird) also as ornament, of gold2. NA (desig. of a kind of horse)"
sunāpu I,(or sunābu) (a sanitary towel) NA legap> .;
hūbu I,(or hūpu) (a prof. desig.) NB
napāṣu I,"""to push away, down; smash, abolish"" G (a) ""push s.o. down, away""; qātam n. ""push (s.o.'s) hand away"" = ""refuse o.'s consent""; ""convulse, jerk"" of limbs; ""crush"" objects, grain; ""beat s.o. up""; OB ""defer (payment) of"" accounts Gtn of jaws, lips ""snap repeatedly"", ""flop about repeatedly"" Gt ""beat each other"" D ~ G ""crush"" grain, ""smash"" door; ""beat"" wings; transf. obj. ""kill, smite"" enemies, offspring; OA ""defer payment of"" accounts Dt ""thrash about"""
šapargallu I,(a large fishing net) jB legap> .;
sālihtu I,"(an object, phps.) ""sprinkler"" MB;"
itahlaṣānu I,"""dislocated, slipped"" of egap> ta jB;"
lagatakkaš I,(desig. of horses) M;
kušupha I,(kinds of bread or pastry) Nuzi;
šâ'u I,"""to fly"" O G (pret. išū') of birds; of men ""like a bird"" (iṣṣūriš) Gtn ""fly around, back and forth"" D of wind uncl."
qibītu I,"""speech; command"" Bab., NA [DU11(.GA); NB gap>s also E] ""utterance, statement""; ""command""; ""prayer, request""; freq. q. pî with same mng.s;"
lahāmu I,"""to be hairy"" O G stat. only šārta la ""is covered in hair"" D , Š legap> . only"
samku I,"""buried"" jB legap> . syn. of ""dead"";"
šutaptu I,mng. unkn. OB in desig. of amount of grain
minzer I,(a term for a horse) MB;
naṭālu I,"""to look"" G (a) [IGI; IGI.GÁL; IGI.DU8] ""(be able to) see""; ""look, gaze""; OB transf. ""have view, opinion""; OA of deities ""witness"", OB in gap>; ""look at"" (= dat., ana), ""set o.'s mind to"" s.th.; ""inspect"" offerings, fields, ""observe"" the sky, ""egap> perience"" dreams, visions, sorrow; ""regard, consider"" s.o. as s.th.; ""see fit""; stat. ""is visible""; of parts of the liver ""face"" Gtn iter. Gt 1. ""look at each other"", of parts of the liver ""face each other""; transf. OB of goods etc. ""be of equal value"", OA ana itaṭlim nadānum ""sell for cash""2. OB om. ""look away""D Mari ""egap> amine thoroughly"" Š caus. ""show, let s.o. egap> perience"" Št pass. of Š Bab. ""be shown"", ""be made to egap> perience"" N ""be seen, visible"""
nērārūtu I,"""aid, help"" M, Bogh. [ÉRIN.TAH- ] esp. of military support;"
ašlu I,"""rush; rope"" 1. j [Ú.NINNI5] harvested; as drug; bed of rushes2. O, NA; f. ""tow rope; mooring rope"" of a ship3. Bab., MA ""measuring line""; OB abi ašlim, NB abašlu ""surveyor""; ""survey team (of 8-12 men)""4. Bab. (a linear measure of ~ 60 metres), st. abs. ašal ""1 rope(-length)""5. Nuzi ~ ""field"""
šūsumu I,"""very fitting"" j gold; shrine; person, stature;"
durrû I,"D ""to neglect, reject"" Mari, O legap> ."
bu''û II,"""to look for"" Bab., M D 1. ""seek for"" things, peo; life, friendship etc.2. j, NA ina qātī X b. 'look in X's hands' for s.th. = ""call X to account"" for s.th.3. M ""to demand, claim""4. jB ""keep seeking out""5. Am., Bogh., Ug. ""ask for, aspire to""; ""intend"" evilDtn M leg. ""attempt to start"" proceedings Dt (NA Dtt) pass. of D Dtt (cf. Dt)"
daqqiqu I,"""very tiny"" jB legap> .;"
bibiltu I,"""carrying off, deportation"" O of troops etc.; Mari ~ ""lies"";"
maštakal I,"(an alkaline nt) O, NA [(Ú.)IN.NU.UŠ; Ú.IN6.ÚŠ]"
dalû I,"""bucket"" Bab., NA for drawing water; of bronze; NB bīt d. ""land irrigated by bucket"", opp. of bīt mê; I"
šalihtu I,mng. uncert. jB
nêšakkūtu I,(office of nêšakkum) OB [NAM.NU.ÈŠ];
arāru I,"subst. ""curse"" jB, NA; I infin."
buṣallibu I,(a nt) jB legap> .
gullubūtu I,"""(cultic) shaving, i.e. ordination"" NB;"
zabbatu I,(a le ecstatic) O;
šēqu I,(a vessel) MB
bêlu I,"""to rule (over); dispose of"" G (ē; pres. OAkk ibe''al; OA pret. also ib'el; ptcp. jB bā'ilu) [EN]; ""rule over, control"" countries; M, M ""subject to o.'s rule, take possession of""; jB, NA absol. ""rule, be ruler""; stat. ""is lord"" jB, NA; OB ""detain"" (s.o.); j ""be in charge of (= acc.)""; OA ""be responsible for"" silver, ""lay claim to"" s.o. D OB ""keep s.o. in power"" N pass. OB ""be detained""; OA ""be claimed"""
ešriātu I,"""tenfold"" NA in ana e. [10(.MEŠ)-te];"
abiktu I,"""defeat"" M, NA [BAD5.BAD5(- ) (cf. dabdû, tahtû)] a. šakānu ""to inflict a defeat""; lipî a. 'fat of the defeat' (a nt) jB legap> .;"
ukkupiš I,"""very near"" jB, of ce, of time;"
sapqu I,"""able, competent"" NB legap> .;"
a-na a-šùr-iš-tí-kál i-ku-pí-a ù i-dí-a-bi-im qí-bi-ma um-ma en-um-a-šur-ma a-na i-ku-pí-a qí-bi-ma i-nu-mì a-na-kam tù-uš-bu 5 GÚ URUDU ma-sí-am SIG5 ša-bu-ra-am <gap> -ri- <gap> ah-bu-lá-kum ki-ma a-bi-a ta-ba-ší-ma ú-lá ú-ba-áš-kà-ma qá-at-kà ú-lá am-ha-aṣ a-na-kam PUZUR4-{d}UTU DUMU šu-nu-nu a-na 15 u4-me-e URUDU ša-qá-li-im tù-ša-zi-za-am-ma a-dí u4-mì-im a-nim URUDU mì-ma ú-lá iš-qú-lam ù i-na ma-ha-ar ṣú-ha-ri-kà-ma a-dí ha-am-ší-šu ú iš-ri-šu iš-tí-šu a ṣí-bi-it-ma ṣú-ha-ru-kà i-da-gu5-lu um-ma a-na-ku-ma URUDU PUZUR4-{d}UTU lu-ša-áš-qí-il5-ma gi-mì-lam i-ṣé-er a-wi-LAM lá-áš-ku-un-ma a ša a-na-ah-tí ša 2 ma-na KÙ.BABBAR a-da-nu-šu-ni ú a-ni-um lu gi5-mì-lam šu-a-tí-ma li-bu-šu-ma lu i-de8 a-na-kam PUZUR4-{d}UTU ú-ni-ha-ni-ma a-na kà-ri-im ir-dí-a-ni-ma KÙ.BABBAR 5 GÍN uš-ta-ag-me-ra-ni-ma ṭup-pá-am ša ší-bi-a al-té-qé ša i-na lá i-dí-im šu-um-kà IGI ṣa-he-er GAL a- <gap>,"<gap> To Aššuriš-tikal, Ikūn-pīya and Iddin-abum from Ennam-Aššur; specifically to Ikūn-pīya: When you stayed here I lent you 5 talents of washed, good, broken copper gap> You are like a father to me, I shall not put you to shame and I have not refused you anything. Here you appointed Puzur-Šamaš son of Šu-Nūnu for me in order to pay the copper in 15 days, but until today he has not paid any copper to me. Also, in the presence of your own servants I have quarrelled with him five or ten times, and your servants observe this. I said: Let Puzur-Šamaš have the copper paid so I can do the man a favour, and since I shall give him the earnings from 2 minas of silver may this man indeed know about this favour!"" Puzur-Šamaš has troubled me here, led me to the colony and put me to an egap> pense of at least 5 shekels of silver, so I got hold of a tablet with my witnesses, stating that without reason he spoke your name gap> before the nary assembly. He said: ""What silver does Ikūn-pīya have as a claim on me"" I said: ""I have answered you. Therefore I have taken a tablet with witnesses gap> if gap> from the month gap> To Ikūn-pīya: I was unhappy with respect to your goods that you gave to Adad-ṣulūlī and the son of Šu-Nūnu, so I wrote you. You must decide yourself about your goods. """
14.5 GÍN KÙ.BABBAR KI ì-lí-dan DUMU šu-ki-tim 2 ma-na 10 GÍN KÙ.KI šu-IŠTAR ša sà-e-im ba-lu-ni ma ar DUMU e-dí-ší-in na hi ni ù ṣa-al-tí <gap> iš-tù 10 ša-na-at 10 GÍN.TA <gap> i-lá-ak-šu-nu-tí i qá-qá-ad ke-ni-šu-nu ra-ki-is 15 GÍN KÙ.KI 2.5 ma-na URUDU KI a-bu-um-DINGIR DUMU a-be-lá 5.5 GÍN KÙ.KI {d}IM-pí-lá-ah DUMU a-hu-qar IGI pí-lá-ah-ŠA.ŠA 5 ma-na <gap> GÍN KÙ.BABBAR KI ha-zu-a-lá 1 ma-na KÙ ša i-a-tí ù PUZUR4.IŠTAR DUMU {d}AB-ba-ni KI be-lu-dan ù lá-qé-ep ⅔ ma-na KÙ na-dí-bu-um ⅔ ma-na i-dí-a-šùr a-na 3 ma-na i-sú-hi ½ ma-na 5 GÍN a-ka-bi 1.5 ma-na na-ab-sú-in i-nu-um-IŠTAR 1.3333 ma-na 2 GÍN a-hu-qar DUMU a-ba-a-a 1 ma-na 13 GÍN e-ri-DINGIR ù šu-IŠTAR a-hu-šu 1 ma-na 15 GÍN KI ma-nu-ki-DINGIR-a i-ku-bu-ur ú-ṭí-tim i-ša-qal šu-ma lá eš-qúl 1 ma-na-um ⅓ ma-na i-lá-ak iš-tù li-mì-im ša i-dí-sú-in DUMU šu-lí 10 GÍN za-ar-ta-nim 1 ma-na URUDU ša bíl-li-tim ⅓ ma-na LÁ 2 GÍN,"<gap> 14.5 shekels of silver is owed by Ilī-dan son of Šukkutum. 2 minas 10 shekels of silver is owed by Šu-Ištar, the wailer. gap> son of Edišin gap> for 10 years (interest) will accrue to them at the rate 10 shekels per gap> They are jointly liable. 15 shekels of gold and 2.5 minas of copper is owed by Abum-ilī son of Abela. 5.5 shekels of silver is owed by Adad-pilah son of Ahu-waqar. Witnessed by Pilah- gap> 5 minas gap> shekels of silver is owed by hazuwalla. 1 mina of silver belonging to me and Puzur-Ištar son of Illil-bāni is owed by Bēlu-dan and Lā-qēp. ⅔ mina of silver: Nadibum. ⅔ mina: Iddin-Aššur. For 3 minas: Isuhu. ½ mina 5 shekels: Akabi. 1.5 mina: Nab-Suen (and) Ennam-Ištar. 1.3333 mina 2 shekels: Ahu-waqar son of Abaya. 1 mina 13 shekels: Eri-ilī and his brother Šu-Ištar. 1 mina 15 shekels is owed by Mannu-kī-iliya; he is to pay when the grain is ripe. If he has not paid (in time) ⅓ mina per mina will accrue (as interest). From the eponymy of Iddin-Suen son of Šuli. 10 shekels of, 1 mina of copper from gap> , ⅓ mina less 2 shekels is owed by Ilšu-dan. 6.5 shekels of silver is owed by by Ilum-idī. Witnessed by hannānum. 1 tegap> tile (worth) ⅓ mina 4 shekels I invested in the caravan of Akutum son of Illil-bāni. ½ mina of silver and 1 talent of copper: Ištar-pālil son of Arši-ah. 1 tegap> tile (worth) ⅓ mina 4 shekels, 1 tegap> tile (worth) 15 shekels of silver Ennam-Aššur invested in Akutum's caravan. Of the debt of hazuwalla for humagap> Aguwa guarantees with the silver for 1 mina of silver."
nawen I,(part of a chariot) Nuzi;
ṣalālu I,"""to lie (down), sleep"" Bab., NA G (a; imper. ṣilal) [NÚ] of humans, gods; ""lie"" with, segap> ually; ""be still, peaceful""; of animals; ""lie still"" in death; of ruin, in desertion; of quay, in inactivity; lā ṣ. ""sleessness, insomnia"" D Mari ""see in o.'s sleep"" Š ""allow to sleep, rest; put to sleep"""
arbu II,"""fugitive, runaway"" Nuzi, jB;"
kalûtu I,"""lamentation-priesthood"" Bab. [(LÚ.)GALA- ; jB also NAM.GALA] as prebend; OB of kalû priests as group; ""craft of the kalû""; ""tegap> tual corpus of kalû"";"
sugāgūtu I,"""post as sheikh"" Mari; sheep, silver payments re s. of gap>, of PlN;"
garāmu I,"""to follow course"" G (i) jB of net"
takmussû I,(a garment) Am.
suhummu I,mng. unkn. M
munaggiru I,"""denouncer, informer"" O;"
hayyāṭu I,"""surveyor, inspector"" M, NA as epith. of deity; desig. of demon; NA ""spy, look-out""; NA ""inspection hole"" in oven;"
ṣibtu III,"(= ṣ. I or II ) NB 1. (a garment, esp. for cult statues) [MÁŠ]2. (a kind of loaf)"
muma''erūtu I,"""office of satrap"" [LÚ.GAL.UKKIN- ] NB;"
anzūzu I,(a type of spider) jB [ŠÈ.GUR4]
kikiṭṭû I,"""ritual procedure"" M [KÌD.KÌD(.DA)];"
gitpāšu I,"in emūqī g. ""fully suped with troops"" jB;"
umarzanapāta I,"""city-ruler"" NB;"
surinakku I,(a kind of bat) jB legap> .
gimuššu I,"""reed pole"" jB for boat;"
maziānu I,(a racecourse for horses) MA
um-ma en-na-sú-in-ma a-na en-um-a-šùr qí-bi4-ma a-hi a-ta a-ma-kam tí-ir-tí a-ṣé-er i-tur4-DINGIR i-li-kam a-dí a-wa-tim ša ma-šu-ha-ku-ni ù a-ta a-na i-tur4-DINGIR pu-nu-ma ú i-na ša-ha-tí-šu i-zi-iz-ma šu-ma a-wa-tum i-sí-ú i-zi <gap> šu-ma lá i- <gap> -ší <gap> me-et ni <gap> me <gap> i- <gap> um-ma <gap> le-qé-a-ma <gap> lá a-na <gap> ba-lá-ṭí <gap> i <gap> gi-mì-lam <gap> i-na ṣé-ri-a šu-ku-un,"<gap> From Enna-Suen to Ennam-Aššur: My dear brother, my message came to Itūr-ilī there concerning the matter where I have been treated badly. You too should turn to Itūr-Ilī and assist him, and if they have called a lawsuit gap> Do me a great favour."
sapāru I,"""(deity's) net"" O [SA.PÀR] in hunting, for enemies; s. manzât ""s. of rainbow"";"
kimâ I,"adv. ""outside"" jB;"
wuruhli I,"""south"" Nuzi;"
um-ma ša-lim-a-šùr-ma a-na i-dí-a-bi-im lá-qé-pì-im e-na-ah-DINGIR ù en-um-a-šùr qí-bi-ma i-nu-mì kà-ar-wa-a ù pu-šu-ke-en6 kà-ru-um <gap> a-na ší-ip-ru-tim a-šu-mì da-me ša DUMU a-lá-hi-im ù KÙ.BABBAR hu-lu-qá-e a-na bu-ru-uš-ha-dim iš-pu-ru i-na pu-ùh-ri-im me-er-e <gap> ú-ša-zi-iz <gap> en-um-a-šùr <gap> ší-bé-e lá i-ša-kà-an ù a-wa-tám lá i-ga-ma-ar i-nu-mì a-na a-lim{ki} pá- <gap> -a-ni IGI ú-ra-a IGI MAR.TU-ba-ni en-na-nam aṣ-ba-at-ma um-ma a-na-ku-ma a-na a-na ku-be <gap> šu-ma a-wa-tám ta-ga-ma-ar al-kam gu5-mu-ur šu-ma lá ki-a-am iš-tí me-er-e-a ù iš-tí ša ki-ma i-a-tí lá ta-ma-ga-ar ša ni-iš a-lim{ki} uz-na-tí-šu-nu al-pu-ut a-hu-ú-a a-tù-nu a-wa-tám i-na lá i-dim i- <gap> ú-ra-a ù MAR.TU-ba-ni a-na ba-áb DINGIR-lim <gap> li- <gap> en-um-a-šùr ù <gap> ma a <gap> bu ta-ag-mu <gap> i-na na-ru-qí-a tù-uš <gap>,"<gap> From Šalim-Aššur to Iddin-abum, Lā-qēp, Enah-ilī and Ennam-Aššur: When the colony sent Karwaya and Pūšu-kēn as envoys to Burušhaddum because of the blood-money for Ali-ahum's son and the lost silver, I had the sons of gap> stand up in the assembly gap> Ennam-Aššur gap> he will not set witnesses and will not conclude the matter. When we decided to go to the City I seized Ennānum with Uraya and Amurrum-bāni as witnesses, and I said: gap> If you can conclude the matter, then come and conclude it! If that is not the case, then you will not agree with my sons or with my representatives."" I made clear to them what was sworn by the City. My dear brothers, for no reason he gap> the matter gap> Let Uraya and Amurrum-bāni go down to the Gate of the God gap> Ennam-Aššur gap> you have concluded gap> you have gap> from my joint-stock capital."""
nidû I,mng. unkn. OB egap> t.
asru I,mng. uncert. NB
šamšatu I,"""(sun-)disc"" [AŠ.ME; dUTU.MEŠ] as cult ornament, usu. of metal; astr. ""parhelion; paraselene"";"
ṭāmītu I,"""(le) spinner"" M;"
šitqu I,"""st, crack"" jB ""crack"" in liver; š. irti (part of breastbone); of stones š. šadî ""quarried from mountain""; (a leather pouch);"
nakmu I,"""heaped (up)"" jB; med. ""accumulated"" matter in a body;"
kalāṣu I,"""to contract o.s., roll up"" O G (i) of part of body; of dog Gtn (legap> . also hitalluṣu) iter. of sheep's nose D fact. legap> . only"
hurhutūtu I,"""arrow"" Nuzi;"
kisû I,"""footing, nth"" Bab. [KI.SÁ] around base of building, gate, wall;"
mušapzertu I,'that hides' jB legap> . (term for a door) legap> .;
memītu I,jB legap> . 1. (term for a girl)2. (a nt)
lāqittu I,"""le collector"" OB of grain; of clods;"
šanā'iyu I,"""second; of second rank, size"" MA [2- ];"
a-na ma-ma-hi-ir qí-bi-ma um-ma en-nam-a-šur-ma lá-ma té-er-ta-kà i-li-kà-ni 11 GÚ URUDU SIG5 ša DU10-ṣí-lá-a-šur ha-bu-la-ku-ni a-ha-ma 3 GÚ 10 ma-na URUDU SIG5 ša a-ni-na ha-bu-la-ku-ni ù-ša-áš-qí-il5-šu-nu 1 ma-na 1⅓ GÍN KÙ.BABBAR ša a-na a-ni-na ha-bu-ul lá-ma té-er-ta-kà i-li-kà-ni KÙ.BABBAR i-na ra-mì-ni-a áš-qú-ul-ma ṭup-pá-kà ù-šé-ṣí-am a-na <gap> a-ni-im ša <gap> ša al-qé-ú <gap> URUDU ša a-na <gap> ha-bu-lá-tí-ni i-na URUDU SIG5 ša i-na <gap> ni <gap> ša <gap> dí-ú-ni ù <gap> ki ša qá-tí um-me-a-ni iṣ-ba-at-ma a-na ṣí-ib-tim i-na <gap> lá na <gap> ma ma-hi-ir 1.6666 ma-na a-na sà-hi-ri-im i-za-zu DUMU id-na-a-šur en-nam-a-šur ù SIG5-pì-i-a-šur ni-iṣ-ba-at-ma 11 GÚ 15 ma-na URUDU SIG5 a-na um-me-a-ni áš-qú-ul-ma ṭup-pá-kà A.KI-il5-ma iš-tí 20 ma-na URUDU SIG5 ša DUMU a-šur-ba-ni ha-bu-lá-ku-ni ki <gap> áp-qí-id a-ha-ma <gap> ma-na <gap> ša a-na a-ni-na ha-bul <gap> a-na li-lá iš-tí ṭu,"<gap> To Man-mahir from Ennam-Aššur: Before your message arrived I made Ṭāb-ṣill-Aššur pay 11 talents of good copper which he owed to you, and also 3 talents 10 minas of good copper which Annina owed to you. As to the 1 mina 1⅓ shekels of silver which was owed to Annina - I paid the silver myself before your message arrived and I obtained your debt-note. gap> this gap> which I took gap> copper that you owe to gap> , of the good copper that they gap> in gap> he seized from the hands of the investors and for interest gap> The copper stands at an egap> change rate of 100:1 for the -copper. We seized Iddin-Aššur's son, Ennam-Aššur and Damiq-pī-Aššur and I paid 11 talents 15 minas of good copper to the investors, and took your tablet and together with 20 minas of good copper that Aššur-bāni owes to you I entrusted it gap> Further, gap> minas gap> that you owed to Annina I entrusted to Lila with the tablet gap>"
mētā I,"""a hundred times"" OA"
izbu I,"""misbirth, foetal anomaly"" O of human, animal; šumma i. (teratological omen series);"
mālaltu I,(a post or beam) O [DÌM.TUR.TUR];
emmu I,"""hot"" O, M [KÚM] of bitumen, water, dregs; baked brick, oven; as subst. ""hot (water)"", ša e. ""servant bringing hot water""; emmetu ""hot (bread)"";"
a-na a-dí-da ú a-lá-hi-im ù ku-ku-lá-nim qí-bi-ma um-ma MAN-a-šur-ma šu-ma a-da-a IR ša a-bu-bu en-na-sú-in me-ra-šu a-na ší-mì-im i-ša-qal IR-dam le-qé-a-ni-šu i-na qá-tí ša-ni-im qá-áb-li-tám e-ri-a šu-ma da-da lá i-mu-a a-na ṣé-ri-a li-li-kam KÙ.BABBAR 1 GÍN KÙ.BABBAR ù 2 GÍN ig-ri-a ša-al-ma a-na ša-ni-ú-tim lá a-ta-na-dí-in a-hu-ú-a a-tù-nu le-qé-a-ni-šu,"To Adida, Ali-ahum and Kukkulānum from Puzur-Aššur: If - with respect to Adaya, Abubu's slave - his son Enna-Šuen is ready to sell him, then take him (as) slave. Empty the into the hands of another. If Dada refuses, then let him come to me. Inquire about my wages of 1 or 2 shekels of silver so I do not squander it to others. My dear brothers, take him for me."
sagû III,(desig. of a bear) in jB sagummargû
KIŠIB bu-bu-ra-nu-um a-na a-bi4-a DUMU be-e-be ù a-šùr-DU10 <gap> -nu a-bi4-a šu-ma a-hu-a a-tù-nu ih-da,"<gap> Sealed by Buburānum; to Abiya son of Bebe and Aššur-ṭab. gap> Abiya. If you are truly my brothers, take care!"
hurīzu I,"hurīzā, hurīzena ""villa, palace"" Nuzi;"
kālītu I,"1. legap> . (wooden part of chariot)2. OAkk(Ur III) (ornamental item), of gold"
anqullu I,"(an atmospheric phenomenon; a fiery glow) Bab., NA [IZI.AN.NE(=BIR9)]; jB ""feverish heat""; NA aban a. ""meteor"""
takkassu I,"(or dakkassu(m)) ""(small) block of stone"" Bab., NA [DAG.GAZ]; usu. semiprecious stone;"
tungallu I,(a stringed instrument) jB legap> .;
makṣāru I,"m. & f. 1. OB (a mathematical procedure)2. jB ""snaffle"" for horse3. NB ""bundle"" of straw etc."
